name;addr;attend;denom
New Hope Church;Manvel, TX;5686;CHRISTIAN
Calvary Baptist Church;Beaumont, TX;2350;SBC
Irving Bible Church;Irving, TX;4100;NONDENOM
Hillside Christian Church- Amarillo West;Amarillo, TX;8000;CHRISTIAN
Sugar Creek Baptist Church;Sugar Land, TX;3730;SBC
Antioch Missionary Baptist Church;Beaumont, TX;2800;MISSBAPT
Grace Community Church;Plano, TX;1850;UNK
Oak Hills Church;San Antonio, TX;8663;COC
Inspiring Body of Christ Church;Dallas, TX;8000;UNK
Lakeside Baptist Church;Granbury, TX;1800;BAPT
Community of Faith;Hockley, TX;6000;UNK
First Baptist Church;Arlington, TX;2292;SBC
Beltway Park Baptist Church;Abilene, TX;2700;SBC
Travis Avenue Baptist Church;Fort Worth, TX;2000;SBC
University United Methodist Church;San Antonio, TX;2589;UMC
Grace Covenant Church;Austin, TX;3500;NONDENOM
Trinity Church;Lubbock, TX;2900;NONDENOM
Fellowship of the Parks;Keller, TX;2722;UNK
Highland Park United Methodist Church;Dallas, TX;4400;UMC
Calvary Austin;Pflugerville, TX;2500;CAL
Highland Church of Christ;Abilene, TX;2000;COC
Central Baptist Church;College Station, TX;3000;SBC
North Church;Carrollton, TX;3500;NONDENOM
Church Without Walls;Houston, TX;6411;SBC
St Lukes United Methodist Church;Houston, TX;1931;UMC
The Heights Baptist Church;Richardson, TX;2623;SBC
Tallowood Baptist Church;Houston, TX;2000;BAPT
New Song Church;Carrollton, TX;2000;SBC
Milestone Church;Keller, TX;2000;UNK
Baptist Temple Church;McAllen, TX;2000;SBC
March of Faith Ministries;Houston, TX;1800;BAPT
Prestoncrest Church of Christ;Dallas, TX;2500;COC
Saint John Baptist Church;Grand Prairie, TX;8800;NONDENOM
PromiseLand Church;Austin, TX;2400;NONDENOM
Second Baptist Church;Houston, TX;20656;SBC
Windsor Village United Methodist Church;Houston, TX;5859;UMC
The Met (Metropolitan Baptist Church);Houston, TX;3600;BAPT
Temple Bible Church;Temple, TX;2800;NONDENOM
Park Cities Presbyterian Church;Dallas, TX;5500;PCA
Compass Christian Church;Colleyville, TX;3012;CHRISTIAN
Oak Cliff Bible Fellowship Church;Dallas, TX;7000;NONDENOM
Globe Harvest Church;Dallas, TX;2260;SBC
The Woodlands United Methodist Church;The Woodlands, TX;4267;UMC
Friendship West Baptist Church;Dallas, TX;9000;ABC
Abundant Life Cathedral Church;Houston, TX;5000;NONDENOM
Iglesia Rios de Agua Via;Odgen, UT;2000;UNK
South Mountain Community Church;Draper, UT;1800;NONDENOM
Washington Heights Baptist Church;Ogden, UT;2200;CBA
Blue Ridge Community Church;Forest, VA;2000;NONDENOM
Faith Landmarks Ministries;Richmond, VA;5000;UNK
Korean Central Presbyterian Church;Centreville, VA;4500;PCA
Immanuel Bible Church;Springfield, VA;4000;NONDENOM
West End Assembly of God;Richmond, VA;2100;AG
Grove Church;Portsmouth, VA;2363;BAPT
First Baptist Norfolk;Norfolk, VA;2462;SBC
Tree of Life Ministries;Lynchburg, VA;2400;PENT
Cornerstone Chapel;Leesburg, VA;3250;UNK
Reston Bible Church;Dulles, VA;1800;NONDENOM
Richmond Outreach Center;Richmond, VA;5500;NONDENOM
Atlantic Shores Baptist Church;Virginia Beach, VA;2000;SBC
Waters Edge Church;Yorktown, VA;3594;SBC
Saint Paul's Baptist Church;Richmond, VA;6257;SBC
Christian Fellowship Church;Ashburn, VA;2000;NONDENOM
Reston Bible Church;Reston, VA;1800;NONDENOM
New Life Providence Church;Virginia Beach, VA;2500;NONDENOM
Lifepoint Church;Fredericksburg, VA;1800;UNK
Alfred Street Baptist Church;Alexandria, VA;2800;BAPT
Antioch Baptist Church;Fairfax Station, VA;1800;SBC
Wave Church;Virginia Beach, VA;4000;NONDENOM
McLean Bible Church;McLean, VA;16500;NONDENOM
Colonial Heights Baptist Church;Colonial Heights, VA;2125;SBC
Open Door Presbyterian Church;Herndon, VA;2500;PRES
Fairfax Community Church;Fairfax, VA;2500;UNK
The Rock Church International;Virginia Beach, VA;2225;NONDENOM
Highlands Fellowship;Abingdon, VA;4000;SBC
Harvest Life Changers World Ministries;Woodbridge, VA;2000;NONDENOM
Spotswood Baptist Church;Fredericksburg, VA;2000;SBC
Calvary Revival Church;Norfolk, VA;8000;NONDENOM
Bethel Temple Assembly of God;Hampton, VA;2613;AG
First Mount Zion Baptist Church;Dumfries, VA;3400;BAPT
Liberty Baptist Church;Hampton, VA;3023;SBC
Chapel Springs;Bristow, VA;2500;AG
Grace Church;Dumfries, VA;2000;NONDENOM
Faith Deliverance Christian Center;Norfolk, VA;2000;COC
Christ Chapel;Woodbridge, VA;1862;AG
The Falls Church Anglican;Falls Church, VA;3000;ANGLICAN
Mount Lebanon Missionary Baptist Church;Chesapeake, VA;2300;MISSBAPT
Kempsville Presbyterian Church;Virginia Beach, VA;2200;EPC
Williamsburg Community Chapel;Williamsburg, VA;2400;UNK
Thomas Road Baptist Church;Lynchburg, VA;8350;UNK
Faith! Christian Church;Waverly Gardens, VIC;1900;UNK
Tabernacle Missionary Baptist Church;Seattle, WA;1800;UNK
Washington Cathedral;Redmond, WA;2000;UNK
Christ the King Community Church;Bellingham, WA;4000;NONDENOM
First Presbyterian Church of Bellevue;Bellevue, WA;2203;PCUSA
Calvary Community Church;Sumner, WA;3000;NONDENOM
Eastridge Church;Issaquah, WA;1900;AG
Walla Walla City Seventh-day Adventist Church;Walla Walla, WA;1800;SDA
New Life Church at Renton;Renton, WA;2733;AG
Christian Faith Center;Seattle, WA;8000;NONDENOM
NewLife Church;Silverdale, WA;3044;AG
Westgate Chapel;Edmonds, WA;2000;NONDENOM
Church For All Nations;Tacoma, WA;2000;NONDENOM
First Presbyterian Church;Spokane, WA;2500;PCA
The City Church;Kirkland, WA;6300;NONDENOM
River of Life Fellowship;Kent, WA;2000;NONDENOM
North County Christ the King Community Church;Lynden, WA;1950;NONDENOM
New Life Fellowship-Community Church of Seattle;Bothell, WA;3000;UNK
Northwest Church;Federal Way, WA;1800;4SQ
New Heights Church;Vancouver, WA;4000;BGC
University Presbyterian Church;Seattle, WA;3896;PCUSA
Calvary Fellowship Church;Mountlake Terrace, WA;1900;UNK
Bethany Community Church;Seattle, WA;2874;NONDENOM
Canyon Hills Community Church;Bothell, WA;2100;NONDENOM
Life Center;Tacoma, WA;4811;AG
Northshore Baptist Church;Kirland, WA;2400;BAPT
Gold Creek Community Church;Mill Creek, WA;2389;CHRISTIAN
Eastside Foursquare Church;Bothell, WA;2300;4SQ
Cascade Community Church;Monroe, WA;2000;NONDENOM
Overlake Christian Church;Redmond, WA;3000;CHRISTIAN
Westminster Chapel;Bellevue, WA;3000;NONDENOM
Champions Centre;Tacoma, WA;5500;NONDENOM
Church of Living Water;Olympia, WA;2100;4SQ
Cornwall Church;Bellingham, WA;2300;COGA
East Lake Community Church;Bothell, WA;4500;NONDENOM
Christ the King Community Church;Burlington, WA;17000;NONDENOM
Calvary Chapel;Spokane, WA;2600;CAL
Grace Community Church;Auburn, WA;2000;CBA
Centro Cristiano Ministries;Manson, WA;2000;NONDENOM
Saint John Baptist Church;Tacoma, WA;2000;UNK
Antioch Bible Church;Redmond, WA;3500;NONDENOM
Bethel Church;Richland, WA;2400;UNK
Puyallup Foursquare Church;Puyallup, WA;3500;4SQ
Crossroads Community Church;Vancouver, WA;4000;UNK
Lighthouse Christian Center;Puyallup, WA;1800;CMA
Mount Zion Baptist Church;Seattle, WA;2500;BAPT
Life Center Foursquare;Spokane, WA;4500;4SQ
Living Hope Church;Vancouver, WA;5200;NONDENOM
New Life Foursquare Church;Everett, WA;2700;4SQ
Crossroads Bible Church;Bellevue, WA;2100;BGC
Gateway Fellowship;Poulsbo, WA;2000;AG
Elmbrook Church;Brookfield, WI;7013;NONDENOM
Christian Faith Fellowship;Milwaukee, WI;6000;COGIC
Bethel Lutheran Church;Madison, WI;1800;LUTH
Appleton Alliance Church;Appleton, WI;3000;CMA
Hales Corners Lutheran Church;Hales Corners, WI;3000;LUTH
Eastbrook Church;Milwaukee, WI;2000;NONDENOM
Blackhawk Church;Verona, WI;4000;EF
Oak Creek Assembly of God;Oak Creek, WI;2229;AG
Christ the Rock Community Church;Menasha, WI;3000;NONDENOM
Fox River Christian Church;Waukesha, WI;2400;UNK
Celebration Church - Bayside;Green Bay, WI;4000;NONDENOM
Alliance Missionary Church;Marshfield, WI;1800;CMA
Door Creek Church;Madison, WI;2000;EF
Central Christian Church;Beloit, WI;1981;CHRISTIAN
Journey Church;Kenosha, WI;2400;AG
Bible Center Church;Charleston, WV;2500;NONDENOM
Chestnut Ridge Church;Morgantown, WV;2400;NONDENOM
Maranatha Fellowship Church;Saint Albans, WV;2200;UNK
Highland Park Community Church;Casper, WY;2500;COG
